"Rk","G","Date","Age","Tm","HomeAway","Opp","Margin","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-","DFS"
2,1,"2015-10-30","26-146","LAL","@","SAC",-18,0,"4:04",1,3,0.333,0,0,NA,0,0,NA,1,1,2,0,0,0,1,0,2,0.3,3,4
20,2,"2015-12-06","26-183","LAL","@","DET",-20,0,"12:00",1,3,0.333,0,0,NA,0,0,NA,0,3,3,1,1,1,0,2,2,2.8,5,11.3
21,3,"2015-12-07","26-184","LAL","@","TOR",-9,0,"16:37",0,3,0,0,0,NA,3,4,0.75,2,0,2,2,0,0,2,4,3,-0.3,0,7.5
22,4,"2015-12-09","26-186","LAL","@","MIN",-1,0,"18:47",4,5,0.8,0,0,NA,1,2,0.5,1,2,3,0,0,0,0,6,9,5.6,1,12.8
23,5,"2015-12-11","26-188","LAL","@","SAS",-22,0,"12:23",1,5,0.2,0,0,NA,0,2,0,2,1,3,2,0,1,0,1,2,1.5,4,10.8
24,6,"2015-12-12","26-189","LAL","@","HOU",-29,0,"22:47",2,6,0.333,0,0,NA,3,4,0.75,1,1,2,0,0,1,1,1,7,3.5,-35,11
25,7,"2015-12-15","26-192","LAL","","MIL",18,0,"22:19",2,5,0.4,0,0,NA,0,0,NA,1,2,3,1,0,2,1,4,4,2.1,-2,12.8
26,8,"2015-12-17","26-194","LAL","","HOU",-20,0,"22:27",1,2,0.5,0,0,NA,0,0,NA,3,3,6,2,0,1,1,1,2,4.7,9,14
27,9,"2015-12-19","26-196","LAL","@","OKC",-40,0,"15:02",0,2,0,0,0,NA,0,2,0,1,2,3,1,0,0,0,4,0,-1.8,-22,5.3
28,10,"2015-12-22","26-199","LAL","@","DEN",4,0,"2:08",0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,2,0,-0.8,-6,0
29,11,"2015-12-23","26-200","LAL","","OKC",-35,0,"26:30",4,6,0.667,0,0,NA,2,4,0.5,3,3,6,0,1,1,1,2,10,9.5,-7,21
31,12,"2015-12-27","26-204","LAL","@","MEM",-16,0,"6:51",0,1,0,0,0,NA,1,2,0.5,2,0,2,0,0,1,0,0,1,2,9,5.5
39,13,"2016-01-10","26-218","LAL","","UTA",-12,0,"7:07",1,2,0.5,0,0,NA,0,0,NA,0,0,0,2,0,0,1,0,2,1.4,-8,4.5
44,14,"2016-01-20","26-228","LAL","","SAC",-19,0,"2:05",0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,0,0.3,1,1.3
45,15,"2016-01-23","26-231","LAL","@","POR",-18,0,"3:43",1,1,1,0,0,NA,0,0,NA,0,1,1,0,0,0,0,0,2,2,2,3.3
49,16,"2016-01-31","26-239","LAL","","CHO",-19,0,"6:46",1,1,1,0,0,NA,0,0,NA,0,2,2,0,0,1,0,0,2,3,3,6.5
52,17,"2016-02-06","26-245","LAL","@","SAS",-4,0,"13:29",0,2,0,0,0,NA,2,2,1,1,1,2,0,0,1,0,1,2,1.9,1,6.5
53,18,"2016-02-08","26-247","LAL","@","IND",-2,1,"15:01",0,2,0,0,0,NA,0,0,NA,0,0,0,0,0,0,1,4,0,-4,-15,-0.5
59,19,"2016-02-26","26-265","LAL","","MEM",-17,0,"5:51",0,2,0,0,0,NA,2,2,1,2,0,2,0,0,0,1,0,2,1,8,4
67,20,"2016-03-15","26-283","LAL","","SAC",-8,0,"22:14",5,5,1,0,0,NA,0,0,NA,1,4,5,2,0,0,0,3,10,10.6,14,19.3
73,21,"2016-03-28","26-296","LAL","@","UTA",-48,0,"7:35",1,3,0.333,0,0,NA,3,4,0.75,2,2,4,0,0,0,0,0,5,4.9,1,10
76,22,"2016-04-05","26-304","LAL","@","LAC",-22,0,"8:27",1,1,1,0,0,NA,3,4,0.75,1,2,3,0,0,0,0,2,5,4.8,0,8.8
77,23,"2016-04-06","26-305","LAL","","LAC",-10,0,"14:41",2,6,0.333,0,0,NA,0,0,NA,3,2,5,0,0,0,1,0,4,2.3,-1,9.8
78,24,"2016-04-08","26-307","LAL","@","NOP",-8,0,"14:45",0,2,0,0,0,NA,0,0,NA,1,3,4,1,1,0,0,3,0,0.7,-2,8.5
80,25,"2016-04-11","26-310","LAL","@","OKC",-33,0,"16:26",3,7,0.429,0,0,NA,5,6,0.833,4,4,8,0,1,0,1,3,11,9.7,4,22.5
